,name,last name,first name,age,position,team,faStatus,total-contract,average,max-contract
61,danilogallinari,Gallinari,Danilo,33.9>,PF,SAS,UFA,13281950,6640975,"$13,281,950"
62,pattymills,Mills,Patty,33.8>,PG,BKN,UFA,13281950,6640975,"$14,489,402"
63,pattymills,Mills,Patty,33.8>,PG,BKN,UFA,13281950,6640975,"$14,489,402"
64,johnwall,Wall,John,31.8>,PG,HOU,UFA,13281950,6640975,"$13,281,950"
65,johnwall,Wall,John,31.8>,PG,HOU,UFA,13281950,6640975,"$13,281,950"
66,brucebrown,BrownJr.,Bruce,25.8>,SG,BKN,UFA,13281950,6640975,"$13,281,950"
67,brucebrown,BrownJr.,Bruce,25.8>,SG,BKN,UFA,13281950,6640975,"$13,281,950"
68,ottoporter,PorterJr.,Otto,29.1>,SF,GSW,UFA,12300000,6150000,"$12,300,000"
69,ottoporter,PorterJr.,Otto,29.1>,SF,GSW,UFA,12300000,6150000,"$12,300,000"
70,amircoffey,Coffey,Amir,25.0>,SG,LAC,RFA,11000000,3666667,"$11,000,000"
71,amircoffey,Coffey,Amir,25.0>,SG,LAC,RFA,11000000,3666667,"$11,000,000"
72,dontedivincenzo,DiVincenzo,Donte,25.4>,SG,SAC,UFA,9225000,4612500,"$9,225,000"
73,dontedivincenzo,DiVincenzo,Donte,25.4>,SG,SAC,UFA,9225000,4612500,"$9,225,000"
74,dewaynededmon,Dedmon,Dewayne,32.8>,C,MIA,UFA,9024000,4512000,"$9,024,000"
75,dewaynededmon,Dedmon,Dewayne,32.8>,C,MIA,UFA,9024000,4512000,"$9,024,000"
76,danuelhouse,HouseJr.,Danuel,29.0>,SF,UTH,UFA,8415250,4207625,"$8,415,250"
77,danuelhouse,HouseJr.,Danuel,29.0>,SF,UTH,UFA,8415250,4207625,"$8,415,250"
78,mikemuscala,Muscala,Mike,31.1>,PF,OKC,UFA,7000000,3500000,"$7,000,000"
79,mikemuscala,Muscala,Mike,31.1>,PF,OKC,UFA,7000000,3500000,"$7,000,000"
80,vlatkocancar,Cancar,Vlatko,25.2>,SF,DEN,RFA,6815324,2271775,"$6,815,324"
81,vlatkocancar,Cancar,Vlatko,25.2>,SF,DEN,RFA,6815324,2271775,"$6,815,324"
82,derrickjones,JonesJr.,Derrick,25.3>,SF,CHI,UFA,6560000,3280000,"$6,560,000"
83,derrickjones,JonesJr.,Derrick,25.3>,SF,CHI,UFA,6560000,3280000,"$6,560,000"
84,andredrummond,Drummond,Andre,28.8>,C,BKN,UFA,6560000,3280000,"$6,560,000"
85,andredrummond,Drummond,Andre,28.8>,C,BKN,UFA,6560000,3280000,"$6,560,000"
86,joeingles,Ingles,Joe,34.8>,SF,POR,UFA,6479000,6479000,"$6,479,000"
87,joeingles,Ingles,Joe,34.8>,SF,POR,UFA,6479000,6479000,"$6,479,000"
88,lonniewalkeriv,WalkerIV,Lonnie,23.5>,SG,SAS,UFA,6479000,6479000,"$6,479,000"
89,lonniewalkeriv,WalkerIV,Lonnie,23.5>,SG,SAS,UFA,6479000,6479000,"$6,479,000"
90,kevinknox,Knox,Kevin,22.9>,SF,ATL,UFA,6000000,3000000,"$6,000,000"
91,kevinknox,Knox,Kevin,22.9>,SF,ATL,UFA,6000000,3000000,"$6,000,000"
92,jordannwora,Nwora,Jordan,24.0>,PF,MIL,RFA,5800000,2900000,"$6,200,000"
93,jordannwora,Nwora,Jordan,24.0>,PF,MIL,RFA,5800000,2900000,"$6,200,000"
94,jerichosims,Sims,Jericho,23.7>,PF,NYK,UFA,5658206,1886069,"$5,658,206"
95,jerichosims,Sims,Jericho,23.7>,PF,NYK,UFA,5658206,1886069,"$5,658,206"
96,samhauser,Hauser,Sam,24.6>,SF,BOS,UFA,5658206,1886069,"$5,658,206"
97,samhauser,Hauser,Sam,24.6>,SF,BOS,UFA,5658206,1886069,"$5,658,206"
98,montrezlharrell,Harrell,Montrezl,28.6>,PF,CHA,UFA,5223516,2611758,"$5,223,516"
99,montrezlharrell,Harrell,Montrezl,28.6>,PF,CHA,UFA,5223516,2611758,"$5,223,516"
100,damianjones,Jones,Damian,27.0>,C,SAC,UFA,4885050,2442525,"$4,885,050"
