"","X","Player","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Tm","fix"
"341",474,"Aleksej Pokusevski",20,61,12,1233,186,456,0.408,57,197,0.289,129,259,0.498,0.47,35,50,0.7,73,245,318,131,39,38,94,88,464,"OKC","aleksejpokusevski"
"342",475,"Aaron Wiggins",23,50,35,1209,156,337,0.463,42,138,0.304,114,199,0.573,0.525,62,85,0.729,51,127,178,68,30,10,54,93,416,"OKC","aaronwiggins"
"343",476,"Jeremiah Robinson-Earl",21,49,36,1087,134,324,0.414,58,165,0.352,76,159,0.478,0.503,40,54,0.741,75,199,274,49,29,15,39,75,366,"OKC","jeremiahrobinsonearl"
"344",477,"Kenrich Williams",27,49,0,1072,146,317,0.461,41,121,0.339,105,196,0.536,0.525,30,55,0.545,75,145,220,108,44,10,46,81,363,"OKC","kenrichwilliams"
"345",478,"Isaiah Roby",23,45,28,948,166,323,0.514,44,99,0.444,122,224,0.545,0.582,78,116,0.672,75,142,217,71,36,34,43,109,454,"OKC","isaiahroby"
"346",479,"Théo Maledon",20,51,7,908,119,317,0.375,44,150,0.293,75,167,0.449,0.445,79,100,0.79,20,111,131,111,31,11,65,67,361,"OKC","thomaledon"
"347",480,"Ty Jerome",24,48,4,801,124,328,0.378,54,186,0.29,70,142,0.493,0.46,38,47,0.809,19,59,78,109,30,5,37,73,340,"OKC","tyjerome"
"348",481,"Vit Krejci",21,30,8,690,68,167,0.407,32,98,0.327,36,69,0.522,0.503,19,22,0.864,18,83,101,57,19,8,29,65,187,"OKC","vitkrejci"
"349",482,"Derrick Favors",30,39,18,653,94,182,0.516,2,16,0.125,92,166,0.554,0.522,16,25,0.64,58,126,184,25,17,12,9,62,206,"OKC","derrickfavors"
"350",483,"Mike Muscala",30,43,0,592,113,248,0.456,70,163,0.429,43,85,0.506,0.597,48,57,0.842,21,108,129,22,18,26,14,58,344,"OKC","mikemuscala"
"351",484,"Lindy Waters III",24,25,1,465,71,175,0.406,53,146,0.363,18,29,0.621,0.557,4,5,0.8,6,67,73,24,19,8,11,31,199,"OKC","lindywatersiii"
