,Full name,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
139,Justin Anderson,28,3,47,10.7,.666,.750,.500,0.0,13.8,7.1,17.3,1.1,0.0,17.0,11.1,,0.1,0.0,0.1,.124,,-3.0,0.4,-2.6,0.0
140,Luke Kornet,26,2,15,8.7,.316,.200,.600,15.1,7.2,11.1,8.8,0.0,5.9,0.0,18.6,,0.0,0.0,0.0,.008,,-6.7,-3.2,-9.9,0.0
141,Tre Scott,25,2,11,20.4,.500,.167,.000,10.3,9.8,10.1,0.0,4.5,8.1,0.0,24.1,,0.0,0.0,0.0,.138,,-4.8,1.8,-3.0,0.0
142,Malik Newman,24,1,8,28.6,.680,.200,.400,0.0,13.5,6.9,27.8,0.0,0.0,14.5,38.1,,0.0,0.0,0.0,.179,,6.3,0.1,6.4,0.0
143,Tim Frazier,31,2,8,-10.3,.500,.000,.000,0.0,0.0,0.0,17.9,0.0,0.0,50.0,22.1,,-0.1,0.0,0.0,-0.283,,-17.8,-5.8,-23.6,0.0
144,Dorian Finney-Smith,28,80,2644,12.5,.604,.629,.120,5.1,10.7,7.9,8.2,1.7,1.3,9.9,13.8,,3.4,3.2,6.6,.121,,0.1,0.7,0.8,1.9
145,Jalen Brunson,25,79,2524,17.1,.583,.250,.211,1.9,11.7,6.8,24.3,1.3,0.1,10.1,21.9,,4.9,2.7,7.5,.143,,0.9,0.0,0.9,1.9
146,Luka Dončić,22,65,2301,25.1,.571,.406,.349,2.7,26.0,14.3,46.0,1.6,1.4,15.3,37.4,,3.8,3.8,7.6,.159,,6.4,1.8,8.2,5.9
147,Reggie Bullock,30,68,1902,9.2,.558,.782,.096,1.9,12.2,7.0,6.1,1.1,0.7,7.1,13.3,,1.2,2.0,3.2,.080,,-1.5,0.0,-1.4,0.3
148,Dwight Powell,30,82,1798,18.1,.725,.092,.529,10.7,14.3,12.5,8.1,1.0,2.0,11.5,14.0,,6.0,2.2,8.2,.219,,0.4,0.5,0.9,1.3
149,Maxi Kleber,30,59,1450,11.0,.537,.720,.184,5.4,21.5,13.4,6.5,1.0,3.6,10.9,13.3,,0.7,2.3,3.0,.098,,-1.6,1.2,-0.4,0.6
150,Tim Hardaway Jr.,29,42,1245,12.7,.520,.574,.194,1.2,12.8,7.0,11.4,1.5,0.4,5.6,22.0,,0.5,1.5,2.0,.077,,-0.4,0.2,-0.2,0.6
151,Josh Green,21,67,1039,11.9,.578,.305,.176,5.6,11.7,8.6,11.0,2.2,1.2,13.8,13.9,,1.0,1.4,2.4,.111,,-2.4,1.4,-1.0,0.3
152,Kristaps Porziņģis,26,34,1002,21.8,.561,.341,.335,7.1,21.9,14.5,11.7,1.3,5.3,8.3,28.6,,1.6,1.8,3.4,.161,,2.2,0.8,3.0,1.3
153,Frank Ntilikina,23,58,685,10.4,.513,.498,.112,1.9,10.9,6.4,14.7,2.0,0.9,11.7,17.4,,0.1,0.9,0.9,.065,,-2.8,0.9,-1.9,0.0
154,Spencer Dinwiddie,28,23,650,19.0,.624,.428,.449,1.5,10.8,6.2,22.0,1.3,0.8,9.6,22.3,,1.8,0.7,2.5,.182,,2.9,0.1,2.9,0.8
155,Sterling Brown,26,49,628,8.4,.495,.594,.097,4.6,21.8,13.2,7.5,1.1,1.0,12.5,13.2,,-0.1,0.9,0.8,.061,,-3.4,0.5,-2.9,-0.1
156,Trey Burke,29,42,441,10.0,.475,.381,.107,1.0,7.3,4.2,20.7,1.4,0.0,10.4,25.6,,-0.4,0.4,0.0,.003,,-3.6,-1.4,-5.0,-0.3
157,Marquese Chriss,24,34,346,14.8,.518,.187,.246,10.6,22.5,16.5,7.7,1.9,3.1,10.3,21.5,,0.2,0.6,0.8,.108,,-3.8,0.0,-3.8,-0.2
158,Dāvis Bertāns,29,22,306,11.2,.540,.827,.096,2.2,18.2,10.2,7.1,1.0,1.8,4.4,16.7,,0.2,0.4,0.6,.098,,-0.4,-0.3,-0.7,0.1
159,Willie Cauley-Stein,28,18,177,8.4,.474,.057,.057,8.2,15.7,11.9,7.0,1.7,1.5,16.3,10.9,,0.0,0.2,0.2,.063,,-4.1,0.9,-3.1,0.0
160,Moses Brown,22,26,169,15.5,.588,.000,.860,10.5,29.6,20.1,0.9,0.9,4.8,16.9,22.1,,0.1,0.3,0.4,.111,,-4.7,-0.2,-4.8,-0.1
161,Theo Pinson,26,19,148,11.9,.553,.769,.256,1.5,14.3,7.9,15.9,1.7,1.2,10.3,14.7,,0.2,0.2,0.4,.122,,-1.5,1.0,-0.5,0.1
162,Boban Marjanović,33,23,128,18.5,.615,.057,.314,6.9,27.0,16.9,4.8,0.0,2.1,15.8,33.3,,-0.1,0.2,0.1,.045,,-3.2,-1.2,-4.4,-0.1
163,Brandon Knight,30,5,65,13.0,.561,.680,.320,0.0,13.7,6.8,18.6,0.8,0.0,12.3,22.5,,0.1,0.1,0.1,.091,,-2.7,-1.9,-4.6,0.0
164,Carlik Jones,24,3,19,-4.0,.127,.143,.286,5.8,11.7,8.8,32.3,2.6,0.0,27.6,25.8,,-0.2,0.0,-0.1,-0.338,,-13.0,-4.3,-17.3,-0.1
165,George King,28,4,19,-12.3,.085,.800,.400,0.0,29.3,14.6,0.0,0.0,0.0,14.5,16.3,,-0.1,0.0,-0.1,-0.296,,-16.5,-3.5,-20.1,-0.1
166,Eugene Omoruyi,24,4,18,17.0,.518,.400,.800,12.3,30.9,21.6,15.8,0.0,0.0,0.0,16.9,,0.1,0.0,0.1,.201,,3.3,0.7,4.0,0.0
167,Charlie Brown Jr.,24,3,15,5.1,.200,.600,.000,0.0,7.4,3.7,8.9,6.7,6.0,0.0,15.0,,-0.1,0.0,0.0,-0.050,,-7.7,5.1,-2.6,0.0
168,Isaiah Thomas,32,1,13,12.6,.375,.375,.000,0.0,0.0,0.0,52.6,0.0,0.0,0.0,27.7,,0.0,0.0,0.0,.006,,-0.6,-3.7,-4.2,0.0
169,Moses Wright,23,3,13,17.3,.470,.250,.750,8.5,17.1,12.8,10.4,0.0,7.0,0.0,18.4,,0.0,0.0,0.0,.160,,0.3,-0.7,-0.3,0.0
170,JaQuori McLaughlin,24,4,11,-2.9,.000,.500,.000,0.0,0.0,0.0,22.3,0.0,0.0,0.0,8.2,,0.0,0.0,0.0,-0.101,,-9.4,-4.2,-13.6,0.0
171,Nikola Jokić,26,74,2476,32.8,.661,.220,.357,9.6,35.5,23.0,42.6,2.2,2.3,15.6,31.9,,10.8,4.5,15.2,.296,,9.2,4.5,13.7,9.8
172,Aaron Gordon,26,75,2376,15.3,.602,.312,.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,,3.2,2.0,5.2,.105,,0.5,-1.1,-0.6,0.9
173,Will Barton,31,71,2277,13.4,.548,.480,.142,2.2,14.1,8.3,17.6,1.2,1.2,11.8,20.8,,1.2,1.9,3.2,.067,,0.4,-0.9,-0.5,0.9
174,Monte Morris,26,75,2239,14.7,.583,.406,.109,1.4,9.6,5.6,21.4,1.2,0.6,8.8,17.4,,3.9,1.5,5.4,.116,,0.8,-0.8,0.0,1.1
175,Jeff Green,35,75,1849,12.5,.627,.318,.374,2.6,11.1,7.0,7.3,0.7,1.3,10.3,16.3,,2.7,1.2,3.9,.101,,-1.2,-1.3,-2.5,-0.2
176,Austin Rivers,29,67,1480,7.2,.546,.660,.126,1.5,6.9,4.3,8.0,1.7,0.4,12.8,12.6,,0.1,1.1,1.2,.037,,-3.5,-0.3,-3.8,-0.7
177,Bones Hyland,21,69,1310,14.4,.558,.627,.219,1.2,14.4,8.0,21.2,1.5,1.4,12.1,23.8,,1.1,1.3,2.4,.088,,0.3,-0.7,-0.4,0.5
178,Facundo Campazzo,30,65,1184,11.1,.503,.652,.264,2.2,8.6,5.5,24.1,2.6,1.8,16.9,14.7,,0.6,1.3,2.0,.081,,-2.1,1.3,-0.8,0.4
179,JaMychal Green,31,67,1085,14.1,.587,.379,.284,8.6,19.9,14.5,7.6,1.9,2.2,13.4,17.2,,1.2,1.4,2.7,.118,,-2.0,0.1,-1.8,0.0
180,Zeke Nnaji,21,41,698,13.5,.629,.430,.349,9.3,14.1,11.8,3.4,1.1,1.7,9.7,14.9,,1.2,0.6,1.8,.123,,-0.7,-1.6,-2.2,0.0
181,Davon Reed,26,48,668,12.2,.624,.534,.093,2.4,15.2,9.0,10.7,1.8,1.2,8.7,12.1,,0.9,0.7,1.6,.117,,-0.6,0.3,-0.3,0.3
182,Bryn Forbes,28,35,610,10.6,.578,.593,.156,1.1,4.3,2.7,8.0,0.6,0.3,8.1,20.3,,0.5,0.2,0.7,.054,,-1.1,-3.2,-4.3,-0.4
183,DeMarcus Cousins,31,31,431,17.6,.565,.359,.422,13.4,30.6,22.3,19.1,2.2,2.7,22.0,31.9,,-0.2,0.8,0.6,.065,,-2.8,-0.2,-3.1,-0.1
184,PJ Dozier,25,18,340,8.7,.463,.485,.131,4.8,15.6,10.3,11.3,1.6,1.6,11.0,15.2,,-0.1,0.4,0.3,.038,,-3.0,1.0,-2.0,0.0
185,Michael Porter Jr.,23,9,265,7.5,.416,.466,.087,3.9,20.4,12.4,8.9,1.9,0.7,10.1,19.7,,-0.5,0.3,-0.2,-0.032,,-3.9,0.5,-3.5,-0.1
186,Vlatko Čančar,24,15,176,12.7,.657,.293,.341,5.2,14.1,9.8,13.2,0.6,1.5,16.0,14.0,,0.3,0.1,0.4,.114,,-0.9,-0.9,-1.7,0.0
187,Markus Howard,22,31,176,16.1,.567,.693,.228,1.3,6.1,3.8,6.2,2.5,0.0,5.9,29.4,,0.1,0.2,0.3,.082,,0.8,-2.0,-1.2,0.0
188,Bol Bol,22,14,81,13.5,.565,.148,.185,5.7,21.4,13.8,9.1,0.6,2.2,12.0,18.0,,0.0,0.1,0.1,.065,,-0.5,-0.4,-1.0,0.0
189,Petr Cornelie,26,13,38,9.6,.418,.533,.267,21.3,19.9,20.6,10.8,1.3,2.4,19.3,24.0,,-0.1,0.0,0.0,-0.015,,-6.1,-2.7,-8.8,-0.1
190,Rayjon Tucker,24,3,29,13.6,.798,1.000,2.000,4.0,11.2,7.7,16.7,1.7,0.0,0.0,5.7,,0.1,0.0,0.1,.213,,0.6,1.3,1.9,0.0
191,James Ennis III,31,3,14,3.7,.311,.333,.167,8.2,7.7,8.0,29.8,0.0,0.0,13.4,23.3,,0.0,0.0,0.0,-0.134,,-7.2,-4.0,-11.1,0.0
192,Carlik Jones,24,2,4,8.9,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,,0.0,0.0,0.0,-0.030,,-3.0,-3.7,-6.7,0.0
193,Saddiq Bey,22,82,2704,14.0,.529,.537,.224,4.1,14.1,8.8,13.8,1.3,0.5,7.1,21.3,,2.4,1.6,4.0,.071,,0.9,-1.2,-0.3,1.2
194,Cade Cunningham,20,64,2088,13.1,.504,.352,.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,,-2.4,1.9,-0.5,-0.011,,-1.1,-0.5,-1.6,0.2
195,Isaiah Stewart,20,71,1816,14.0,.550,.094,.210,12.8,24.5,18.4,6.9,0.6,3.9,13.7,14.6,,1.6,1.8,3.4,.091,,-2.5,-0.8,-3.3,-0.6
196,Killian Hayes,20,66,1647,9.3,.461,.364,.161,2.2,12.0,6.9,24.6,2.3,1.9,18.4,15.7,,-1.0,1.5,0.5,.014,,-4.3,0.8,-3.5,-0.6
197,Cory Joseph,30,65,1600,11.4,.579,.393,.283,1.9,10.3,5.9,21.8,1.3,1.0,15.9,14.3,,1.7,0.8,2.5,.075,,-2.0,-0.1,-2.1,0.0
198,Jerami Grant,27,47,1500,16.1,.556,.363,.371,1.9,12.4,6.9,12.5,1.4,2.9,9.5,25.7,,1.2,1.1,2.3,.075,,1.4,-0.2,1.2,1.2
199,Hamidou Diallo,23,58,1269,15.7,.541,.177,.266,5.6,18.7,11.8,9.8,2.7,1.2,9.0,21.8,,0.6,1.5,2.1,.079,,-1.2,0.7,-0.5,0.5
200,Frank Jackson,23,53,1164,10.6,.530,.578,.215,1.7,6.7,4.0,7.6,1.1,0.7,6.7,20.9,,0.3,0.4,0.7,.031,,-1.8,-1.7,-3.5,-0.4
201,Trey Lyles,26,51,990,16.7,.576,.380,.458,6.2,21.2,13.3,9.5,1.1,2.4,10.5,22.3,,1.3,0.9,2.2,.106,,0.5,-0.4,0.0,0.5
202,Kelly Olynyk,30,40,764,16.7,.561,.416,.311,7.3,18.3,12.5,23.3,2.0,2.2,15.1,21.5,,0.8,0.8,1.6,.104,,0.5,1.0,1.6,0.7
203,Rodney McGruder,30,51,754,11.6,.577,.649,.116,4.2,12.1,8.0,9.6,1.4,0.8,9.2,14.8,,0.7,0.4,1.2,.075,,-0.7,-0.7,-1.4,0.1
204,Josh Jackson,24,39,707,9.9,.501,.450,.223,2.5,17.1,9.4,10.7,1.4,2.3,12.1,19.0,,-0.4,0.6,0.2,.013,,-3.5,-0.2,-3.7,-0.3
205,Saben Lee,22,37,604,13.8,.499,.339,.401,3.1,13.0,7.8,26.2,2.9,1.8,14.7,17.3,,0.3,0.7,0.9,.073,,-1.9,1.5,-0.4,0.2
206,Marvin Bagley III,22,18,490,17.7,.585,.175,.270,8.0,19.8,13.6,6.9,1.3,1.3,7.4,21.2,,0.7,0.4,1.1,.107,,0.4,-0.9,-0.6,0.2
207,Luka Garza,23,32,389,15.6,.535,.333,.415,15.3,12.3,13.9,8.3,1.1,1.4,9.4,21.1,,0.5,0.2,0.8,.093,,-0.5,-2.0,-2.5,-0.1
208,Isaiah Livers,23,19,383,11.1,.629,.711,.156,4.0,12.5,8.0,8.0,1.7,1.6,13.5,12.4,,0.4,0.3,0.7,.085,,-1.3,-0.2,-1.5,0.0
209,Braxton Key,24,9,191,13.9,.508,.286,.186,6.5,21.5,13.6,8.4,2.3,5.2,10.6,19.0,,0.0,0.3,0.2,.059,,-3.7,0.5,-3.2,-0.1
210,Jamorko Pickett,24,13,176,7.6,.491,.780,.040,3.5,16.8,9.8,5.8,0.0,3.6,8.9,13.6,,0.0,0.1,0.1,.015,,-2.8,-2.1,-5.0,-0.1
211,Cassius Stanley,22,9,155,8.0,.516,.370,.217,3.3,10.3,6.6,3.9,1.6,1.2,10.6,15.6,,0.0,0.1,0.1,.021,,-4.9,-1.0,-5.8,-0.2
212,Derrick Walton,26,3,108,5.9,.342,.500,.154,1.9,8.4,5.0,26.4,3.2,3.3,28.4,15.4,,-0.3,0.1,-0.2,-0.071,,-5.3,1.0,-4.3,-0.1
213,Justin Robinson,24,5,91,4.9,.457,.750,.214,2.3,6.3,4.2,14.3,0.5,1.0,14.0,16.8,,-0.1,0.0,-0.1,-0.041,,-4.7,-2.3,-6.9,-0.1
214,Carsen Edwards,23,4,79,5.5,.378,.533,.033,2.6,5.8,4.1,26.2,1.2,0.0,14.1,19.2,,-0.1,0.0,-0.1,-0.075,,-6.0,-3.4,-9.3,-0.1
215,Micah Potter,23,3,31,13.6,.505,.182,.182,13.3,18.4,15.7,0.0,1.6,2.9,7.8,17.8,,0.0,0.0,0.0,.073,,-4.0,-3.0,-7.1,0.0
216,Cheick Diallo,25,3,31,12.3,.517,.000,.750,13.3,29.4,20.9,0.0,1.6,0.0,8.6,16.1,,0.0,0.0,0.1,.108,,-4.2,-3.3,-7.5,0.0
217,Deividas Sirvydis,21,3,27,0.1,.150,.700,.000,0.0,25.3,12.0,4.9,5.4,3.3,0.0,15.9,,-0.1,0.1,-0.1,-0.139,,-10.8,2.2,-8.7,0.0
218,Trayvon Palmer,27,1,17,-5.7,.000,.000,.000,0.0,13.4,6.4,0.0,0.0,0.0,50.0,5.0,,-0.1,0.0,0.0,-0.133,,-13.1,-1.8,-15.0,-0.1
219,Jaysean Paige,27,1,7,-22.2,.000,.667,.000,0.0,16.3,7.7,18.1,0.0,0.0,25.0,24.5,,-0.1,0.0,-0.1,-0.574,,-25.0,-6.5,-31.5,0.0
220,Andrew Wiggins,26,73,2329,15.0,.560,.392,.231,4.1,10.9,7.6,10.8,1.6,2.1,9.0,23.1,,1.8,3.4,5.1,.105,,0.3,0.1,0.4,1.4
221,Jordan Poole,22,76,2283,16.1,.598,.548,.251,1.7,10.5,6.2,21.0,1.3,1.0,13.7,26.0,,3.1,2.9,6.0,.126,,1.3,-0.3,1.0,1.7
222,Stephen Curry,33,64,2211,21.4,.601,.613,.243,1.7,14.4,8.3,30.4,1.9,1.0,13.2,30.8,,4.6,3.4,8.0,.173,,5.4,0.4,5.8,4.4
223,Kevon Looney,25,82,1732,15.7,.586,.003,.343,13.5,23.8,18.8,13.2,1.4,2.9,13.8,12.2,,3.5,3.2,6.8,.187,,-0.9,1.7,0.9,1.3
224,Otto Porter Jr.,28,63,1396,15.9,.581,.519,.147,6.9,21.0,14.2,9.6,2.4,2.0,7.7,15.0,,2.2,2.7,4.9,.168,,1.0,2.1,3.1,1.8
225,Draymond Green,31,46,1329,14.3,.582,.210,.354,3.8,23.2,13.8,32.5,2.2,3.6,31.9,14.3,,0.8,2.8,3.6,.131,,-1.4,4.6,3.2,1.8
226,Damion Lee,29,63,1256,10.9,.561,.488,.196,2.4,14.9,8.8,7.1,1.5,0.5,8.4,15.8,,0.9,1.8,2.7,.102,,-2.4,0.4,-2.0,0.0
227,Gary Payton II,29,71,1247,17.8,.679,.349,.169,6.5,14.9,10.8,7.6,3.8,1.7,9.8,14.3,,2.5,2.6,5.2,.199,,0.3,3.4,3.7,1.8
228,Jonathan Kuminga,19,70,1185,15.2,.600,.324,.413,5.1,16.1,10.8,8.4,1.3,1.8,12.0,22.7,,1.3,1.8,3.0,.123,,-1.3,-0.2,-1.5,0.1
229,Nemanja Bjelica,33,71,1142,14.2,.573,.436,.237,6.1,21.5,14.1,19.8,1.8,2.2,18.7,17.8,,1.0,2.1,3.0,.128,,-0.9,2.3,1.4,1.0
230,Juan Toscano-Anderson,28,73,994,11.0,.561,.370,.298,3.2,15.8,9.7,17.6,2.4,1.6,20.4,14.7,,0.3,1.8,2.0,.098,,-3.3,2.4,-0.8,0.3
231,Klay Thompson,31,32,941,16.7,.547,.517,.089,1.8,12.4,7.3,16.1,0.8,1.7,6.7,29.6,,0.6,1.2,1.8,.091,,2.6,-1.6,1.1,0.7
232,Moses Moody,19,52,607,10.5,.573,.601,.197,3.2,11.0,7.2,5.3,0.6,1.6,6.1,15.2,,0.6,0.7,1.3,.101,,-1.4,-1.1,-2.5,-0.1
233,Andre Iguodala,38,31,603,12.3,.478,.612,.165,3.9,13.9,9.1,24.7,2.2,3.5,17.7,11.4,,0.5,1.1,1.6,.125,,-0.9,3.7,2.7,0.7
234,Chris Chiozza,26,34,372,4.4,.407,.654,.037,2.7,7.7,5.3,22.5,1.7,0.0,28.0,13.4,,-0.5,0.5,0.0,-0.004,,-5.7,-0.2,-6.0,-0.4
235,Quinndary Weatherspoon,25,11,73,12.0,.647,.238,.238,3.1,17.4,10.5,10.1,0.7,1.3,11.5,15.7,,0.1,0.1,0.2,.148,,-4.5,0.1,-4.4,0.0
236,Jeff Dowtin,24,4,28,9.5,.500,.167,.000,4.0,22.7,13.7,14.6,0.0,3.4,14.3,10.9,,0.0,0.0,0.1,.089,,-4.3,0.7,-3.6,0.0
237,Jalen Green,19,67,2138,12.5,.547,.480,.247,1.7,10.0,5.8,13.1,1.0,0.8,11.3,23.7,,0.5,0.2,0.7,.015,,-0.5,-2.4,-2.9,-0.5
238,Christian Wood,26,68,2094,19.1,.595,.383,.378,5.7,30.4,18.0,12.2,1.2,2.8,11.0,23.3,,2.9,2.0,4.9,.112,,2.1,-0.4,1.6,1.9
239,Jae'Sean Tate,26,78,2056,14.3,.567,.277,.252,7.2,15.3,11.2,16.9,1.7,1.8,14.6,19.6,,1.9,1.1,3.0,.071,,-1.3,-0.5,-1.8,0.1
240,Kevin Porter Jr.,21,61,1907,13.5,.531,.511,.239,2.5,13.0,7.7,30.7,1.7,1.0,17.7,24.1,,0.0,0.8,0.8,.021,,-0.1,-1.6,-1.6,0.2
241,Garrison Mathews,25,65,1712,11.0,.602,.837,.390,2.0,10.2,6.1,5.3,1.6,1.3,7.1,14.4,,2.2,0.5,2.8,.078,,-1.3,-1.0,-2.3,-0.1
242,Eric Gordon,33,57,1669,12.1,.614,.534,.239,1.0,6.5,3.7,14.1,0.8,1.0,14.6,18.6,,1.5,-0.1,1.4,.040,,-0.1,-2.2,-2.3,-0.1
243,Kenyon Martin Jr.,21,79,1656,14.3,.603,.321,.235,5.3,14.5,9.9,9.4,1.0,2.2,9.4,16.3,,2.3,0.6,2.9,.084,,0.0,-1.2,-1.2,0.4
244,Alperen Şengün,19,72,1489,16.0,.552,.223,.442,10.1,18.9,14.5,19.1,1.9,4.1,18.8,22.0,,0.8,1.3,2.1,.068,,-1.6,0.6,-1.0,0.4
245,Josh Christopher,20,74,1334,12.2,.534,.378,.226,4.3,11.1,7.7,17.3,2.3,0.9,17.2,21.1,,-0.4,0.7,0.3,.010,,-2.2,-1.3,-3.5,-0.5
246,Armoni Brooks,23,41,690,8.4,.490,.849,.076,1.9,11.1,6.4,10.3,1.4,1.0,8.1,17.4,,-0.2,0.2,0.0,.002,,-2.6,-1.8,-4.4,-0.4
247,David Nwaba,29,46,609,15.3,.567,.278,.381,7.4,20.0,13.6,8.5,2.2,2.9,9.3,15.8,,0.8,0.5,1.3,.105,,-0.6,0.0,-0.6,0.2
248,Daniel Theis,29,26,584,10.7,.554,.441,.223,6.0,18.5,12.2,5.1,0.9,2.6,13.6,16.5,,0.1,0.3,0.3,.028,,-2.6,-0.9,-3.4,-0.2
249,D.J. Augustin,34,34,510,9.7,.596,.706,.279,1.5,7.4,4.4,20.5,0.9,0.0,22.8,16.4,,0.2,0.0,0.2,.017,,-1.4,-2.9,-4.3,-0.3
250,Dennis Schröder,28,15,404,11.5,.519,.414,.279,1.6,12.0,6.8,32.0,1.4,0.7,19.9,20.6,,0.1,0.1,0.2,.020,,-2.5,-1.9,-4.4,-0.2
251,Daishen Nix,19,24,261,8.1,.480,.388,.448,2.9,11.0,6.9,21.5,2.7,0.0,24.5,17.3,,-0.3,0.1,-0.2,-0.033,,-5.4,-1.0,-6.4,-0.3
252,Usman Garuba,19,24,239,12.9,.510,.455,.159,9.6,28.7,19.1,9.6,2.0,4.1,11.3,9.4,,0.2,0.3,0.5,.105,,-1.8,0.9,-0.9,0.1
253,Danuel House Jr.,28,16,233,6.8,.467,.459,.257,1.9,18.5,10.1,11.5,1.0,1.9,17.9,18.3,,-0.3,0.1,-0.2,-0.049,,-4.8,-0.7,-5.6,-0.2
254,Bruno Fernando,23,10,94,26.5,.699,.024,.463,12.8,34.1,23.4,6.3,0.5,7.6,15.4,26.3,,0.2,0.1,0.3,.164,,1.3,0.2,1.5,0.1
255,Trevelin Queen,24,10,74,18.2,.619,.727,.121,10.3,13.4,11.9,8.8,3.2,1.2,16.8,23.9,,0.1,0.1,0.1,.080,,2.7,-0.8,1.9,0.1
256,Domantas Sabonis,25,47,1632,22.2,.649,.189,.452,10.4,28.6,19.4,22.2,1.4,1.2,17.3,21.7,,4.4,1.3,5.7,.168,,3.6,1.0,4.6,2.7
257,Oshae Brissett,23,67,1564,12.9,.530,.468,.324,7.6,18.1,12.8,6.4,1.4,1.6,8.5,17.3,,1.4,0.9,2.2,.069,,-0.5,-1.7,-2.2,-0.1
258,Chris Duarte,24,55,1541,12.3,.537,.411,.180,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,,0.2,0.7,0.9,.029,,-1.2,-1.1,-2.3,-0.1
259,Justin Holiday,32,49,1416,10.3,.568,.734,.090,1.4,9.4,5.3,8.8,1.2,1.1,9.3,15.9,,1.0,0.3,1.4,.047,,-0.8,-0.8,-1.7,0.1
260,Myles Turner,25,42,1235,17.4,.615,.466,.267,5.8,21.3,13.4,5.1,1.1,8.3,10.9,17.1,,1.7,1.4,3.1,.120,,0.1,1.4,1.4,1.1
261,Caris LeVert,27,39,1214,16.3,.530,.304,.235,2.7,11.2,6.9,22.8,1.4,1.3,9.9,26.8,,1.1,0.4,1.5,.060,,1.0,-1.3,-0.3,0.5
262,Malcolm Brogdon,29,36,1206,18.0,.557,.343,.308,3.0,14.3,8.6,26.9,1.2,1.0,11.1,24.6,,2.2,0.4,2.7,.106,,2.8,-0.5,2.3,1.3
263,Torrey Craig,31,51,1034,10.8,.555,.491,.125,6.3,14.9,10.5,7.7,1.1,1.6,11.6,13.9,,0.8,0.4,1.2,.056,,-1.6,-0.6,-2.2,-0.1
264,Duane Washington Jr.,21,48,968,10.2,.521,.504,.143,0.5,9.3,4.8,13.0,1.3,0.3,11.2,22.6,,-0.2,0.2,0.0,-0.002,,-1.9,-2.8,-4.8,-0.7
265,Tyrese Haliburton,21,26,938,20.5,.629,.424,.266,2.6,10.9,6.7,38.9,2.5,1.4,18.9,20.3,,2.5,0.6,3.0,.156,,3.7,-1.0,2.8,1.1
266,Buddy Hield,29,26,925,14.5,.563,.546,.086,2.7,13.4,8.0,20.3,1.3,0.9,13.0,22.4,,0.8,0.3,1.1,.059,,1.1,-2.2,-1.1,0.2
267,Lance Stephenson,31,40,744,14.5,.542,.281,.252,1.6,15.4,8.4,31.2,1.6,0.5,16.5,23.7,,0.5,0.3,0.8,.055,,-1.1,-1.7,-2.8,-0.1
268,Goga Bitadze,22,50,729,18.0,.595,.317,.373,11.9,15.3,13.5,11.2,1.4,5.0,13.6,19.9,,1.3,0.6,1.9,.122,,-0.2,-0.6,-0.8,0.2
269,Terry Taylor,22,33,714,19.0,.656,.173,.232,14.6,12.2,13.4,8.6,1.0,1.0,8.7,15.9,,2.2,0.2,2.4,.160,,2.2,-2.7,-0.6,0.3
270,T.J. McConnell,29,27,652,15.1,.525,.159,.111,3.4,12.2,7.7,28.7,2.2,1.3,11.7,16.2,,1.0,0.4,1.3,.098,,-0.4,1.4,0.9,0.5
271,Jeremy Lamb,29,39,613,13.4,.524,.513,.351,2.7,14.6,8.5,11.6,1.8,2.0,8.4,20.0,,0.5,0.4,0.9,.070,,-0.2,-0.2,-0.5,0.2
272,Keifer Sykes,28,32,566,5.9,.456,.474,.089,1.5,7.4,4.4,14.9,1.0,0.6,14.3,17.4,,-0.5,0.1,-0.5,-0.040,,-4.4,-2.5,-6.9,-0.7
273,Jalen Smith,21,22,543,20.2,.628,.390,.235,9.3,25.5,17.3,5.1,0.8,3.7,7.8,20.1,,1.3,0.4,1.7,.150,,2.9,-2.1,0.8,0.4
274,Isaiah Jackson,20,36,541,20.5,.607,.078,.427,12.2,18.7,15.4,2.9,2.3,8.4,14.0,22.5,,0.7,0.7,1.4,.126,,-1.6,0.1,-1.5,0.1
275,Kelan Martin,26,27,444,9.7,.492,.440,.077,4.0,9.5,6.7,6.8,1.4,1.8,7.5,18.1,,-0.1,0.2,0.1,.010,,-2.4,-0.9,-3.3,-0.1
276,Brad Wanamaker,32,22,293,6.5,.465,.236,.306,2.2,11.2,6.7,21.4,0.8,1.8,22.0,15.3,,-0.2,0.1,-0.1,-0.016,,-5.6,-1.0,-6.6,-0.3
277,Justin Anderson,28,13,269,10.3,.475,.609,.172,1.6,15.2,8.3,13.6,1.3,1.9,6.0,15.8,,0.1,0.1,0.2,.041,,-1.7,-1.6,-3.3,-0.1
278,Tristan Thompson,30,4,66,12.5,.527,.000,.333,11.6,18.9,15.2,4.6,0.0,2.6,12.7,20.4,,0.0,0.0,0.0,.013,,-3.2,-3.5,-6.8,-0.1
279,Gabe York,28,2,21,12.7,.435,.857,.714,0.0,10.8,5.3,25.1,4.7,4.1,9.8,20.8,,0.0,0.0,0.0,.059,,-3.7,2.2,-1.5,0.0
