last name,first name,age,position,team,faStatus,total-contract,average,max-contract
Dieng,Gorgui,32.5>,C,ATL,UFA,2641682,2641682,"$2,641,682"
Green,JaMychal,32.1>,PF,OKC,UFA,2628597,2628597,"$2,628,597"
Dellavedova,Matthew,31.8>,PG,CLE,UFA,2628597,2628597,"$2,628,597"
Warren,T.J.,28.8>,SF,IND,UFA,2628597,2628597,"$2,628,597"
Kaminsky,Frank,29.2>,C,PHX,UFA,2463490,2463490,"$2,463,490"
Neto,Raul,30.1>,PG,WAS,UFA,2463490,2463490,"$2,463,490"
Layman,Jake,28.5>,SF,MIN,UFA,2298385,2298385,"$2,298,385"
McGruder,Rodney,31.0>,SG,DET,UFA,2298385,2298385,"$2,298,385"
Hernangomez,Juancho,26.8>,PF,UTH,UFA,2298385,2298385,"$2,298,385"
Forbes,Bryn,28.9>,SG,DEN,UFA,2298385,2298385,"$2,298,385"
Jackson,Frank,24.3>,PG,DET,UFA,2133278,2133278,"$2,133,278"
Arcidiacono,Ryan,28.4>,PG,NYK,UFA,2133278,2133278,"$2,133,278"
Jackson,Josh,25.5>,SG,SAC,UFA,2133278,2133278,"$2,133,278"
Bryant,Thomas,24.9>,C,WAS,UFA,2133278,2133278,"$2,133,278"
Lee,Damion,29.7>,SG,GSW,UFA,2133278,2133278,"$2,133,278"
BrownJr.,Troy,22.9>,SF,CHI,UFA,1968185,1968185,"$1,968,185"
Chiozza,Chris,26.8>,PG,GSW,UFA,1968175,1968175,"$1,968,175"
Watanabe,Yuta,27.8>,SF,TOR,UFA,1968175,1968175,"$1,968,175"
Eubanks,Drew,25.4>,PF,POR,UFA,1968175,1968175,"$1,968,175"
Holiday,Aaron,25.8>,PG,PHX,UFA,1968175,1968175,"$1,968,175"
Pinson,Theo,26.7>,SG,DAL,RFA,1968175,1968175,"$1,968,175"
Okogie,Josh,23.8>,SF,MIN,UFA,1968175,1968175,"$1,968,175"
Cook,Tyler,25.0>,PF,CHI,UFA,1902133,1902133,"$1,902,133"
Mulder,Mychal,28.2>,G,MIA,UFA,1902133,1902133,"$1,902,133"
Cacok,Devontae,25.8>,C,SAS,UFA,1902133,1902133,"$1,902,133"
Brown,Moses,22.7>,C,CLE,UFA,1902133,1902133,"$1,902,133"
Tucker,Rayjon,24.8>,SF,MIL,UFA,1902133,1902133,"$1,902,133"
Toscano-Anderson,Juan,29.2>,SF,GSW,UFA,1902133,1902133,"$1,902,133"
Campazzo,Facundo,31.5>,PG,DEN,UFA,1836090,1836090,"$1,836,090"
Hughes,Elijah,24.6>,SF,POR,UFA,1836090,1836090,"$1,836,090"
Mays,Skylar,25.1>,SG,ATL,UFA,1836090,1836090,"$1,836,090"
Scrubb,Jay,22.1>,SG,LAC,UFA,1836090,1836090,"$1,836,090"
Fitts,Malik,25.2>,PF,IND,UFA,1836090,1836090,"$1,836,090"
Lamb,Anthony,24.7>,SF,HOU,UFA,1836090,1836090,"$1,836,090"
WoodardII,Robert,23.0>,SG,SAS,UFA,1836090,1836090,"$1,836,090"
Thomas,Brodric,2022.8>,G,BOS,RFA,1836090,1836090,"$1,836,090"
Hinton,Nate,23.2>,SG,IND,UFA,1836090,1836090,"$1,836,090"
