last name,first name,age,position,team,faStatus,total-contract,average
Kaminsky,Frank,27.6>,C,PHX,UFA,1882867,1882867
Sampson,JaKarr,27.7>,SF,IND,UFA,1882867,1882867
Neto,Raul,28.5>,PG,PHI,UFA,1882867,1882867
Maker,Thon,23.8>,C,DET,UFA,1737145,1737145
Hernangomez,Willy,26.4>,C,CHA,UFA,1737145,1737145
Thornwell,Sindarius,26.0>,SG,NOP,UFA,1678854,1678854
Craig,Torrey,29.9>,SF,DEN,UFA,1678854,1678854
Giles,Harry,22.6>,C,SAC,UFA,1678854,1678854
WaltonJr.,Derrick,25.6>,PG,DET,UFA,1620564,1620564
Jeffries,DaQuan,23.5>,SG,SAC,RFA,1445697,1445697
